id	user	icon	portrait	English	Japanese	Notes	pic	Filenames	Codes	French	Italian	German	Spanish	7
GIRL_TONGUES	Girl				戦火で荒れ果てたスキタイの平原より;~はるか離れた地で、黒髪の少女に出会った。 #helloworld		72	001.jpg	Z0E1Q					101
					コーカサス地方の山の民は、;~少女を「オトメちゃん」と呼ぶ。;~感じが良さそうな娘だ。 #名前が安直									90
SIGN_TADPOL	The Scythian				「暖炉の前で見る夢は、;~月の記憶か意識の淵か」#夢で逢いましょう									56
SIGN_WALL	The Scythian				「スキタイ、キンメリア、アッシリア、;~ペルシャ…;これらは人が築き上げた地上の~王国だが、;ミンギ・トウは雲の王国である」									113
SIGN_CHASM	The Scythian				「危難の崖」のすぐ手前に石碑があった。;~石碑には七色の虹と、;それらを突き上げる~ような;剣の記号が彫られていた。									125
					我らスキタイ人は虹を忌み嫌う。 #虹大嫌い		21	002.jpg	40C27					48
SIGN_BIRDTREE	The Scythian				古道から伸びる脇道に石碑があった。;~ 記号がいくつも彫ってあるが解読できない。									102
					解読できない記号の羅列だが、;~その中で月を表す象形文字だけは分かった。									69
SIGN_BIRDTREEDECIPHERED	The Scythian				古道から伸びる脇道に、;月の象形文字が~彫られた石碑があった。;以前は解読~できなかったものだ。									125
					象形文字は、この近くにある秘密の場所を;~指し示すもののようだ。;~「月の満ち欠けが様変わりする」とある。									111
					月の洞穴…？  #月の洞穴 #何コレ #謎		205	003.jpg	60D3C					55
SIGN_WOLF	The Scythian				古道のわきに石碑があった。;~剣と盾を示す記号が彫られている。 #ヒント		16	004.jpg	T0C4X					120
SIGN_ANTECHAMBERLEFT	The Scythian				地下道には不気味な像があったが、;~とりあえずシカトを決め込むことにした。 #言い伝え		29	005.jpg	V0B53					98
INFO_CROSSMOUNTAINLEFT	The Scythian				ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。									92
INFO_CROSSMOUNTAINRIGHT	The Scythian				ミンギ・トウの山道はここで終わっている。;~道の終端には寂しげな墓が立っていた。									92
INFO_RIDGESKULLPOLE	The Scythian				ミンギ・トウの頂上へと続く険しい山道に;~何やら棒が立っていた。;棒には大仰な角の~ついた不気味な骸骨が飾りつけてあった。									104
INFO_CROSSRIDGE	The Scythian				ミンギ・トウの頂上へと続く険しい山道に、;~寂しげな墓があった。;~死者の数を誇るかのようにも見えた。									130
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem		ついに「絶世の大書」を見つけた。;~だが骨の手が掴んでいて取れない。;~剣が…鞘の中で震えた…？ #絶世		33	006.jpg	30D6C					98
DOOR_SIDEBMEADOW	The Scythian				見たこともない素材でできた、;取っ手の~ない扉だ。;「関係者以外立ち入り禁止」と~書いてある。									99
DOOR_UPSLOPEWOODS1	The Scythian				ミンギ・トウの古道に続く扉には;鍵が~ かかっている。									55
DOOR_UPSLOPEWOODS3	The Scythian				ミンギ・トウ行きの古道から下に伸びた~脇道を;進むと、うっそうとした茂った低木の~奥に;開かない扉があった。 #月の洞穴									101
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1											0
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook			一人の木こりがしきりに;薪木をパッキリ~割っている。 #薪割り		71	007.jpg	70E70					65
					コーカサス地方の山の民は、;彼を「丸太さん」~と呼ぶ。;結構いい人そうだ。									81
					丸太さんは私の果たすべき使命を;すべて把握~しており、;古道の案内を引き受けてくれた。									81
					…明らかにノリノリではない感じだったが。									75
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook			丸太さんは古道を案内するために;待っていて~くれた。		12	008.jpg	U0D88					83
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook			崖に橋がかかった…これってやらかした系？		22	009.jpg	L0B9S	○				47
			adventureUI/megatomeItem		私は丸太さんに、邪悪な呪術が宿る;~「絶世の大書」を取りに来たのだと伝えた。									93
			adventureUI/megatomeItem		絶世の大書は危難の崖の向こう側にある;~ミンギ・トウのさらに奥、;忌まわしき~暗闇の中にあるという。									102
			adventureUI/megatomeItem		何としても絶世の大書を手に入れ、;生きて~戻ってくる。;そう決心した。									56
