id	user	icon	portrait	Italian	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			Lontano dalla Scizia & dalle sue steppe devastate dalla guerra, in un prato assolato, incontrammo una ragazza dai capelli corvini. #ciaomondo			72	001.jpg	Z0E1Q
				Presso coloro che abitano le montagne del Caucaso era nota come 'Ragazza' & sembrava gentile. #ovviamente					
SIGN_TADPOL	The Scythian			"""Casa è dove è il cuore."" #threegutrecords4ever"					
SIGN_WALL	The Scythian			"""Scizia, Cimmeria, Assiria & Persia - questi sono tutti regni degli uomini. Il Mingi Taw è Il Regno della Nuvola."""					
SIGN_CHASM	The Scythian			Sul bordo del periglioso precipizio, vi era una roccia scolpita con il glifo di una spada innalzata al cielo sotto i colori dell'arcobaleno.					
				Noi Sciti detestiamo gli arcobaleni. #arcobalenidetestabili			21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di glifi indecifrabili.					
				Tra i glifi indecifrabili notammo una serie di pittogrammi della luna.					
SIGN_BIRDTREEDECIPHERED	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di pittogrammi della luna un tempo indecifrabili.					
				"I pittogrammi si riferivano ad un luogo segreto che si trovava poco distante ""... in cui l'umore della luna poteva essere cambiato""."					
				La Grotta della Luna...? #grottadellaluna #macheè #èunmistero			205	003.jpg	60D3C
SIGN_WOLF	The Scythian			Sul lato della strada antica vi era una roccia scolpita con un paio di glifi con la foggia di una spada & uno scudo. #indizioindizio			16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			In un corridoio sotterraneo notammo una statua infausta, ma non ci preoccupammo troppo. #letradizionidelluogo			29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.					
INFO_CROSSMOUNTAINRIGHT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.					
INFO_RIDGESKULLPOLE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw vi era un lugubre palo adornato da un teschio di cervo.					
INFO_CROSSRIDGE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw, un sepolcro solitario ricordava, come un lugubre monito, coloro i quali morirono laggiù.					
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Trovammo il Grantomo racchiuso fra due mani scheletriche & sentimmo la nostra spada muoversi nel fodero. #grantomo			33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			Una porticina senza maniglia fatta di un materiale sconosciuto. Un cartello dice 'Riservato al Personale Autorizzato'.					
DOOR_UPSLOPEWOODS1	The Scythian			La strada antica per Mingi Taw era bloccata da una porta chiusa a chiave.					
