id	English	Japanese
GAME_NAME	Superbrothers: Sword & Sworcery EP	
GAME_MOTTO	A BRAVE EXPERIMENT IN I/O CINEMA	
GAME_NAME_SHORT	S:S&SEP	
WITH_SONGS	SONS ET MUSIQUES PAR	
JIM_GUTHRIE	JIM GUTHRIE	
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	
END_DEMO	Thus ends the demo of	
SIDE_A	FACE A	
SIDE_B	FACE B	
ROTATE	A C T I V E R ?	
INVENTORY_ROTATE	TOURNER ?	
LOOK	REGARDEZ	
LISTEN	ÉCOUTEZ	
TOUCH	TOUCHEZ	
DREAM	RÊVEZ	
TOUCH_ARROW_LEFT	< < TOUCHEZ	
TOUCH_ARROW_RIGHT	TOUCHEZ > >	
GUIDE_ARROW_LEFT	< < GUIDEZ	
GUIDE_ARROW_RIGHT	GUIDEZ > >	
OBSERVE	OBSERVEZ	
INVESTIGATE	EXAMINEZ	
SHAKE	SECOUER ?	
REFLECT	RÉFLÉCHISSEZ	
BELIEVE	CROYEZ	
BEWARE	PRUDENCE	
FOLLOW	SUIVRE ?	
ROTATE_UNSHEATHE	< < DÉGAINER	
GO_HOME	ALLER À L'ACCUEIL ?	
START_ARROW_RIGHT	COMMENCER > > >	
TRESPASS	ENTREZ	
AVOID	ÉVITER	
CONSIDER	ENVISAGEZ	
PERSEVERE	PERSÉVÉREZ	
START_OVER	RECOMMENCER ?	
PROMPT_YES	OUI	
PROMPT_NO	NON	
PROMPT_OK	OK	
PROMPT_CANCEL	ANNULER	
PROMPT_SUBMIT	ENVOYER	
PROMPT_DELETE_SAVE	EFFACER LA SAUVEGARDE ? VOTRE PROGRESSION SERA PERDUE !	
FULLSCREEN	PLEIN ÉCRAN	
FULLSCREEN_YES	OUI	
FULLSCREEN_NO	NON	
VOLUME	VOLUME	
SETTINGS	CONFIG.	
CLEAR_DATA	EFFACER LES DONNÉES	
KEEP_CHANGES	CONSERVER LES CHANGEMENTS ?	
KEEP_CHANGES_AUTO	CONSERVER LES CHANGEMENTS ? ANNULATION DANS	
GAME_RESTART_REQUIRED	IL FAUT REDÉMARRER LE JEU POUR APPLIQUER LES CHANGEMENTS	
TWITTER_SELECT_BUTTON	SÉLECTIONNER	
TWITTER_SELECT_MSG	"SÉLECTIONNEZ UN COMPTE TWITTER"	
TWITTER_NO_ACCOUNTS	Configurez Twitter sur votre appareil	
TWITTER_REQUESTING	DEMANDE D'ACCÈS...	
TWITTER_BROADCAST	VOUS POUVEZ ANNONCER ÇA VIA TWITTER	
TWITTER_SETTINGS	TWITTER	
TWITTER_TWEET	TWEETER ?	
TWITTER_SIGN_IN	SE CONNECTER À TWITTER	
TWITTER_USERNAME	UTILISATEUR OU E-MAIL	
TWITTER_PASSWORD	MOT DE PASSE	
TWITTER_NEVERMIND	RETOUR	
TWITTER_TWEETING	TWEET...	
TWITTER_SIGNING_IN	CONNEXION...	
TWITTER_SUCCESS	RÉUSSITE !	
TWITTER_FAILED	ÉCHEC	
