id	Italian	Japanese	
GAME_NAME	Superbrothers: Sword & Sworcery EP		
GAME_MOTTO	UN CORAGGIOSO ESPERIMENTO NEL CINEMA I/O		
GAME_NAME_SHORT	S:S&SEP		
WITH_SONGS	MUSICHE & SUONI DI		
JIM_GUTHRIE	JIM GUTHRIE		
FOR_DEMO	SOLO PER SCOPI DIMOSTRATIVI		
END_DEMO	Così termina la demo di		
SIDE_A	LATO A		
SIDE_B	LATO B		
ROTATE	A T T I V A R E?		
INVENTORY_ROTATE	RUOTA?		
LOOK	GUARDA		
LISTEN	ASCOLTA		
TOUCH	TIP TAP		
DREAM	SOGNO		
TOUCH_ARROW_LEFT	< <TOCCA		
TOUCH_ARROW_RIGHT	TOCCA> >		
GUIDE_ARROW_LEFT	< <GUIDA		
GUIDE_ARROW_RIGHT	GUIDA> >		
OBSERVE	OSSERVA		
INVESTIGATE	INDAGA		
SHAKE	AGITA?		
REFLECT	RIFLETTI		
BELIEVE	CREDI		
BEWARE	ATTENZIONE		
FOLLOW	SEGUI?		
ROTATE_UNSHEATHE	< < SFODERA		
GO_HOME	VAI A CASA?		
START_ARROW_RIGHT	COMINCIA > > >		
TRESPASS	TRASGREDISCI		
AVOID	EVITA		
CONSIDER	ESAMINA		
PERSEVERE	INSISTI		
START_OVER	RICOMINCIA?		
PROMPT_YES	SÌ		
PROMPT_NO	NO		
PROMPT_OK	OKAY		
PROMPT_CANCEL	ANNULLA		
PROMPT_SUBMIT	INVIA		
PROMPT_DELETE_SAVE	VUOI ELIMINARE I TUOI SALVATAGGI? TUTTI I PROGRESSI VERRANNO PERSI!		
FULLSCREEN	SCHERMO INTERO		
FULLSCREEN_YES	SÌ		
FULLSCREEN_NO	NO		
VOLUME	VOLUME		
SETTINGS	OPZIONI		
CLEAR_DATA	CANCELLA I DATI		
KEEP_CHANGES	MANTENERE LE MODIFICHE?		
KEEP_CHANGES_AUTO	MANTENERE LE MODIFICHE? LE IMPOSTAZIONI PRECEDENTI SARANNO REIMPOSTATE IN		
GAME_RESTART_REQUIRED	È RICHIESTO IL RIAVVIO DEL GIOCO PER ABILITARE LE MODIFICHE		
TWITTER_SELECT_BUTTON	SELEZIONA		
TWITTER_SELECT_MSG	"SELEZIONA UN ACCOUNT TWITTER"		
TWITTER_NO_ACCOUNTS	Configura Twitter sul tuo dispositivo		
TWITTER_REQUESTING	RICHIESTA DI ACCESSO…		
TWITTER_BROADCAST	POTRESTI VOLERLO TRASMETTERE VIA TWITTER		
TWITTER_SETTINGS	TWITTER		
TWITTER_TWEET	TWEETARE?		
TWITTER_SIGN_IN	ACCEDI A TWITTER		
TWITTER_USERNAME	USERNAME O EMAIL		
TWITTER_PASSWORD	PASSWORD		
TWITTER_NEVERMIND	INDIETRO		
TWITTER_TWEETING	TWEETANDO...		
TWITTER_SIGNING_IN	ACCESSO IN CORSO...		
TWITTER_SUCCESS	RIUSCITO!		
TWITTER_FAILED	FALLITO		
TWITTER_WRONG_LOGIN	USERNAME O PASSWORD ERRATI		
TWITTER_CONNECT_FAIL	CONNESSIONE FALLITA		
TWITTER_SIGN_IN_ONLY	ACCEDI		
TWITTER_SIGN_OUT_ONLY	DISCONNETTI		
TWITTER_SIGNED_IN	SEI ATTUALMENTE LOGGATO IN TWITTER		
TWITTER_SIGNED_OUT	NON SEI LOGGATO SU TWITTER		
TWITTER_FILL_OUT	COMPLETA TUTTI I CAMPI		
EPITAPH	NON SONO RIMASTI SEGRETI IN QUESTA PALUDE MEOTIDE		
FIGHT	COMBATTI?		
DARKMOON_COUNT_9	LUNA CUPA TRA 9 GIORNI		
DARKMOON	LUNA CUPA		
BRIGHTMOON	LUNA SPLENDENTE		
DARKMOON_BEFORE_NUM	LUNA CUPA TRA		
DARKMOON_AFTER_1	GIORNO		
DARKMOON_AFTER_MORE	GIORNI		
BRIGHTMOON_BEFORE_NUM	LUNA SPLENDENTE TRA		
BRIGHTMOON_AFTER_1	GIORNO		
BRIGHTMOON_AFTER_MORE	GIORNI		
TIME_PARADOX	*PARADOSSO TEMPORALE*		
ERRAND_END	IL TUO INGRATO COMPITO È AL TERMINE.		
BEWARE_BOOR	ATTENTO A TAMARRORSO		
MOVE_CONTROLS	PREMI E TIENI PREMUTO PER MUOVERTI		
STOP_CONTROLS	TIP TAP PER FERMARE?		
STOP_CONTROLS_ARROW	< < TIP TAP PER FERMARE?		
SLAY	UCCIDERE?		
ZOOM_CONTROLS	< < < ZOOM? > > >		
LOOK_CONTROLS	TOCCA, TIENI PREMUTO & AGITA SULL'AURA DI SPADOMANZIA		
LOOK_CONTROLS_2	TOCCA & AGITA PER GUARDARE INTORNO		
TONGUE_TEXT	Inclina, sfodera & tieni in alto la tua spada scita verso l'arcobaleno per qualche secondo ed abbi fede		
TOUCH_HOLD	TOCCA & TIENI PREMUTO		
TOUCH_HOLD_ARROW_LEFT	< < TOCCA & TIENI PREMUTO		
TOUCH_HOLD_ARROW_RIGHT	TOCCA & TIENI PREMUTO > >		
TIP_TAP_QUESTION	TIP TAP?		
TIP_TAP_ARROW_LEFT	< < TIP TAP		
TIP_TAP_ARROW_LEFT_Q	< < TIP TAP?		
TIP_TAP_ARROW_RIGHT	TIP TAP > >		
RUB	SFREGA		
QUIT	ESCI?		
TAP_ARROW_LEFT	< < TOCCA		
MOON_TIME_1	pochi istanti fa		
MOON_TIME_2	poco fa		
MOON_TIME_3	poco tempo fa		
MOON_TIME_4	in passato		
MOON_TIME_5	molte lune fa		
MOON_TIME_6	tanto tempo fa		
COSMIC_FRIENDS	ORA SIAMO AMICI COSMICI PER SEMPRE... OK?		
The Scythian	La Scita		
Girl	Ragazza		
Logfella	Signor Ceppo		
Dogfella	Signor Cane		
The Archetype	L'Archetipo		
EXIT	ESCI		
RESOLUTION	RISOLUZIONE		
RESET	RESET		
PROMPT_CONFIRM_QUIT	TORNA AL MENU PRINCIPALE?		
APPLY	APPLICA		
BACK	INDIETRO		
ERRMSG_UNABLE_TO_SAVE	Impossibile salvare il file		
ERRMSG_UNABLE_TO_DELETE	Impossibile eliminare il file		
ERRMSG_UNABLE_TO_DELETE_STEAM	Un errore ha impedito al gioco di eliminare il salvataggio Steam.		
ERRMSG_UNABLE_TO_SAVE_STEAM	Un errore ha impedito al gioco di creare un salvataggio Steam.		
ERRMSG_CORRUPT_SAVE_PROGRESS	I salvataggi e i progressi contenuti sono corrotti. Per ripristinarli il gioco eliminerà il salvataggio dopo la pressione del tasto Okay.		
PROMPT_CONFIRM_EXITGAME	VUOI USCIRE DAL GIOCO?		
HASHTAG_SWORCERY	#spadomanzia		
DIGIT_STRING	123456789		
HOLD_SHIELD_TO_HEAL	TIENI SCUDO PER CURARTI		
EXIT_TITLE	Uscire da #sworcery?		
EXIT_PROMPT	Vuoi veramente uscire?		
